clip_id,split,label,q_skel,q_int,q_obj,q_po,valid_ratio
F_101_1_2_0_0_fight_505_960_w1,val,1,1.0,1.0,1.0,1.0,1.0
F_101_1_2_0_0_fight_505_960_w2,val,1,1.0,1.0,1.0,1.0,1.0
F_101_1_2_0_0_fight_1920_2069_w0,val,1,1.0,1.0,1.0,1.0,1.0
F_101_1_2_0_0_fight_1920_2069_w1,val,1,1.0,1.0,1.0,1.0,1.0
F_101_1_2_0_0_fight_1920_2069_w2,val,1,1.0,1.0,1.0,1.0,1.0
F_101_1_2_0_0_nonfight_0,val,0,1.0,1.0,1.0,1.0,1.0
F_101_1_2_0_0_nonfight_1,val,0,1.0,1.0,1.0,1.0,1.0
F_101_1_2_0_0_nonfight_2,val,0,1.0,1.0,1.0,1.0,1.0
F_101_1_2_0_0_nonfight_3,val,0,1.0,1.0,1.0,1.0,1.0
F_102_0_0_0_1_fight_37_480_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_102_0_0_0_1_fight_37_480_w1,train,1,1.0,1.0,0.40625,0.40625,1.0
F_102_0_0_0_1_fight_37_480_w2,train,1,1.0,1.0,0.4375,0.4375,1.0
F_102_0_0_0_1_fight_960_1287_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_102_0_0_0_1_fight_960_1287_w1,train,1,1.0,1.0,0.6875,0.6875,1.0
F_102_0_0_0_1_fight_960_1287_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_102_0_0_0_1_fight_1440_1920_w0,train,1,1.0,1.0,0.90625,0.90625,1.0
F_102_0_0_0_1_fight_1440_1920_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_102_0_0_0_1_fight_1440_1920_w2,train,1,1.0,1.0,0.53125,0.53125,1.0
F_102_0_0_0_1_nonfight_0,train,0,1.0,1.0,1.0,1.0,1.0
F_102_0_0_0_1_nonfight_1,train,0,1.0,1.0,0.59375,0.59375,1.0
F_102_0_0_0_1_nonfight_2,train,0,1.0,1.0,1.0,1.0,1.0
F_102_0_0_0_1_nonfight_3,train,0,0.9375,0.78125,0.90625,0.875,0.9375
F_103_1_2_0_0_fight_186_232_w0,train,1,1.0,0.78125,1.0,1.0,1.0
F_103_1_2_0_0_fight_280_327_w0,train,1,1.0,0.875,1.0,1.0,1.0
F_103_1_2_0_0_fight_358_723_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_103_1_2_0_0_fight_358_723_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_103_1_2_0_0_fight_358_723_w2,train,1,1.0,0.90625,1.0,1.0,1.0
F_103_1_2_0_0_fight_848_960_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_103_1_2_0_0_fight_848_960_w1,train,1,1.0,0.65625,1.0,1.0,1.0
F_103_1_2_0_0_fight_848_960_w2,train,1,1.0,0.1875,1.0,1.0,1.0
F_103_1_2_0_0_nonfight_0,train,0,1.0,1.0,1.0,1.0,1.0
F_103_1_2_0_0_nonfight_1,train,0,1.0,0.5625,1.0,1.0,1.0
F_103_1_2_0_0_nonfight_2,train,0,1.0,1.0,1.0,1.0,1.0
F_103_1_2_0_0_nonfight_3,train,0,1.0,1.0,1.0,1.0,1.0
F_104_1_2_0_1_fight_960_1259_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_104_1_2_0_1_fight_960_1259_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_104_1_2_0_1_fight_960_1259_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_104_1_2_0_1_fight_1790_1920_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_104_1_2_0_1_fight_1790_1920_w1,train,1,1.0,0.4375,1.0,1.0,1.0
F_104_1_2_0_1_fight_1790_1920_w2,train,1,1.0,0.78125,1.0,1.0,1.0
F_104_1_2_0_1_fight_2914_2973_w0,train,1,0.125,0.03125,0.21875,0.0625,0.25
F_104_1_2_0_1_nonfight_0,train,0,0.0625,0.03125,0.1875,0.0625,0.1875
F_104_1_2_0_1_nonfight_1,train,0,1.0,0.84375,1.0,1.0,1.0
F_104_1_2_0_1_nonfight_2,train,0,0.9375,1.0,1.0,1.0,1.0
F_104_1_2_0_1_nonfight_3,train,0,1.0,1.0,1.0,1.0,1.0
F_105_1_0_0_0_fight_272_613_w0,val,1,1.0,1.0,1.0,1.0,1.0
F_105_1_0_0_0_fight_272_613_w1,val,1,1.0,1.0,1.0,1.0,1.0
F_105_1_0_0_0_fight_272_613_w2,val,1,1.0,1.0,1.0,1.0,1.0
F_105_1_0_0_0_fight_715_1336_w0,val,1,1.0,0.8125,1.0,1.0,1.0
F_105_1_0_0_0_fight_715_1336_w1,val,1,1.0,0.71875,1.0,1.0,1.0
F_105_1_0_0_0_fight_715_1336_w2,val,1,0.0,0.0,1.0,0.0,0.0
F_105_1_0_0_0_fight_1412_1491_w0,val,1,0.0,0.0,1.0,0.0,0.0
F_105_1_0_0_0_fight_1412_1491_w1,val,1,0.0,0.0,1.0,0.0,0.0
F_105_1_0_0_0_fight_1611_1667_w0,val,1,0.125,0.0,1.0,0.125,0.125
F_105_1_0_0_0_fight_1906_1982_w0,val,1,1.0,0.0,1.0,1.0,1.0
F_105_1_0_0_0_fight_1906_1982_w1,val,1,1.0,0.65625,1.0,1.0,1.0
F_105_1_0_0_0_fight_2880_3360_w0,val,1,1.0,0.625,1.0,1.0,1.0
F_105_1_0_0_0_fight_2880_3360_w1,val,1,1.0,1.0,1.0,1.0,1.0
F_105_1_0_0_0_fight_2880_3360_w2,val,1,1.0,1.0,1.0,1.0,1.0
F_105_1_0_0_0_nonfight_0,val,0,1.0,0.78125,1.0,1.0,1.0
F_105_1_0_0_0_nonfight_1,val,0,1.0,0.3125,1.0,1.0,1.0
F_105_1_0_0_0_nonfight_2,val,0,1.0,1.0,1.0,1.0,1.0
F_105_1_0_0_0_nonfight_3,val,0,1.0,1.0,1.0,1.0,1.0
F_106_1_2_0_0_fight_31_57_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_106_1_2_0_0_fight_130_411_w0,train,1,1.0,0.96875,1.0,1.0,1.0
F_106_1_2_0_0_fight_130_411_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_106_1_2_0_0_fight_130_411_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_106_1_2_0_0_nonfight_0,train,0,1.0,1.0,1.0,1.0,1.0
F_106_1_2_0_0_nonfight_1,train,0,1.0,1.0,1.0,1.0,1.0
F_106_1_2_0_0_nonfight_2,train,0,1.0,1.0,1.0,1.0,1.0
F_106_1_2_0_0_nonfight_3,train,0,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_fight_386_417_w0,train,1,1.0,0.875,1.0,1.0,1.0
F_107_1_2_0_0_fight_480_775_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_fight_480_775_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_fight_480_775_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_fight_888_960_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_fight_888_960_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_fight_1006_1115_w0,train,1,1.0,0.71875,1.0,1.0,1.0
F_107_1_2_0_0_fight_1006_1115_w1,train,1,1.0,0.9375,1.0,1.0,1.0
F_107_1_2_0_0_fight_1006_1115_w2,train,1,0.375,0.3125,1.0,0.375,0.375
F_107_1_2_0_0_fight_1385_1521_w0,train,1,1.0,0.75,1.0,1.0,1.0
F_107_1_2_0_0_fight_1385_1521_w1,train,1,1.0,0.5625,1.0,1.0,1.0
F_107_1_2_0_0_fight_1385_1521_w2,train,1,1.0,0.90625,1.0,1.0,1.0
F_107_1_2_0_0_fight_1716_1781_w0,train,1,1.0,0.90625,1.0,1.0,1.0
F_107_1_2_0_0_fight_1716_1781_w1,train,1,1.0,0.65625,1.0,1.0,1.0
F_107_1_2_0_0_fight_1920_1938_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_fight_2406_2459_w0,train,1,1.0,0.9375,1.0,1.0,1.0
F_107_1_2_0_0_fight_2538_2664_w0,train,1,1.0,0.96875,1.0,1.0,1.0
F_107_1_2_0_0_fight_2538_2664_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_fight_2538_2664_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_fight_2835_3360_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_fight_2835_3360_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_fight_2835_3360_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_nonfight_0,train,0,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_nonfight_1,train,0,1.0,0.0,1.0,1.0,1.0
F_107_1_2_0_0_nonfight_2,train,0,1.0,1.0,1.0,1.0,1.0
F_107_1_2_0_0_nonfight_3,train,0,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_fight_0_72_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_fight_0_72_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_fight_605_760_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_fight_605_760_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_fight_605_760_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_fight_832_960_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_fight_832_960_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_fight_832_960_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_fight_1079_1153_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_fight_1079_1153_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_nonfight_0,train,0,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_nonfight_1,train,0,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_nonfight_2,train,0,1.0,1.0,1.0,1.0,1.0
F_108_0_0_0_0_nonfight_3,train,0,1.0,1.0,1.0,1.0,1.0
F_109_1_2_0_0_fight_0_493_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_109_1_2_0_0_fight_0_493_w1,train,1,1.0,1.0,0.96875,0.96875,1.0
F_109_1_2_0_0_fight_0_493_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_109_1_2_0_0_fight_937_960_w0,train,1,1.0,0.65625,0.96875,0.96875,1.0
F_109_1_2_0_0_fight_1227_1440_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_109_1_2_0_0_fight_1227_1440_w1,train,1,1.0,0.9375,1.0,1.0,1.0
F_109_1_2_0_0_fight_1227_1440_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_109_1_2_0_0_fight_3360_3389_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_109_1_2_0_0_nonfight_0,train,0,1.0,1.0,1.0,1.0,1.0
F_109_1_2_0_0_nonfight_1,train,0,1.0,1.0,1.0,1.0,1.0
F_109_1_2_0_0_nonfight_2,train,0,1.0,0.9375,0.96875,0.96875,1.0
F_109_1_2_0_0_nonfight_3,train,0,1.0,1.0,1.0,1.0,1.0
F_10_0_0_0_0_fight_480_1167_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_10_0_0_0_0_fight_480_1167_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_10_0_0_0_0_fight_480_1167_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_10_0_0_0_0_nonfight_0,train,0,1.0,1.0,1.0,1.0,1.0
F_10_0_0_0_0_nonfight_1,train,0,1.0,0.875,1.0,1.0,1.0
F_10_0_0_0_0_nonfight_2,train,0,1.0,1.0,1.0,1.0,1.0
F_10_0_0_0_0_nonfight_3,train,0,1.0,1.0,1.0,1.0,1.0
F_110_1_2_0_0_fight_960_1160_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_110_1_2_0_0_fight_960_1160_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_110_1_2_0_0_fight_960_1160_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_110_1_2_0_0_fight_1591_1920_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_110_1_2_0_0_fight_1591_1920_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_110_1_2_0_0_fight_1591_1920_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_110_1_2_0_0_nonfight_0,train,0,1.0,1.0,1.0,1.0,1.0
F_110_1_2_0_0_nonfight_1,train,0,1.0,1.0,1.0,1.0,1.0
F_110_1_2_0_0_nonfight_2,train,0,1.0,1.0,1.0,1.0,1.0
F_110_1_2_0_0_nonfight_3,train,0,1.0,0.65625,1.0,1.0,1.0
F_111_0_0_0_0_fight_0_480_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_111_0_0_0_0_fight_0_480_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_111_0_0_0_0_fight_0_480_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_111_0_0_0_0_fight_748_1044_w0,train,1,0.8125,0.34375,0.96875,0.78125,0.8125
F_111_0_0_0_0_fight_748_1044_w1,train,1,1.0,0.8125,1.0,1.0,1.0
F_111_0_0_0_0_fight_748_1044_w2,train,1,0.9375,0.34375,1.0,0.9375,0.9375
F_111_0_0_0_0_fight_1440_1920_w0,train,1,1.0,0.9375,1.0,1.0,1.0
F_111_0_0_0_0_fight_1440_1920_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_111_0_0_0_0_fight_1440_1920_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_111_0_0_0_0_nonfight_0,train,0,1.0,0.125,1.0,1.0,1.0
F_111_0_0_0_0_nonfight_1,train,0,1.0,1.0,1.0,1.0,1.0
F_111_0_0_0_0_nonfight_2,train,0,1.0,1.0,1.0,1.0,1.0
F_111_0_0_0_0_nonfight_3,train,0,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_fight_0_480_w0,test,1,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_fight_0_480_w1,test,1,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_fight_0_480_w2,test,1,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_fight_3055_3124_w0,test,1,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_fight_3055_3124_w1,test,1,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_fight_3343_3360_w0,test,1,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_fight_3840_3959_w0,test,1,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_fight_3840_3959_w1,test,1,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_fight_3840_3959_w2,test,1,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_fight_4075_4168_w0,test,1,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_fight_4075_4168_w1,test,1,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_nonfight_0,test,0,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_nonfight_1,test,0,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_nonfight_2,test,0,1.0,1.0,1.0,1.0,1.0
F_112_0_0_0_0_nonfight_3,test,0,1.0,1.0,1.0,1.0,1.0
F_113_1_2_0_0_nonfight_0,train,0,1.0,1.0,1.0,1.0,1.0
F_113_1_2_0_0_nonfight_1,train,0,1.0,1.0,1.0,1.0,1.0
F_113_1_2_0_0_nonfight_2,train,0,1.0,1.0,1.0,1.0,1.0
F_113_1_2_0_0_nonfight_3,train,0,1.0,1.0,1.0,1.0,1.0
F_114_0_0_0_0_fight_182_1440_w0,train,1,1.0,0.34375,1.0,1.0,1.0
F_114_0_0_0_0_fight_182_1440_w1,train,1,1.0,0.25,1.0,1.0,1.0
F_114_0_0_0_0_fight_182_1440_w2,train,1,0.0625,0.0,1.0,0.0625,0.0625
F_114_0_0_0_0_nonfight_0,train,0,1.0,0.0,0.84375,0.84375,1.0
F_114_0_0_0_0_nonfight_1,train,0,1.0,0.40625,1.0,1.0,1.0
F_114_0_0_0_0_nonfight_2,train,0,1.0,0.0,1.0,1.0,1.0
F_114_0_0_0_0_nonfight_3,train,0,1.0,0.09375,1.0,1.0,1.0
F_115_1_2_0_0_fight_0_219_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_115_1_2_0_0_fight_0_219_w1,train,1,1.0,1.0,1.0,1.0,1.0
F_115_1_2_0_0_fight_0_219_w2,train,1,1.0,0.4375,0.9375,0.9375,1.0
F_115_1_2_0_0_fight_554_960_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_115_1_2_0_0_fight_554_960_w1,train,1,0.5625,0.71875,1.0,1.0,1.0
F_115_1_2_0_0_fight_554_960_w2,train,1,0.6875,0.65625,1.0,0.9375,0.9375
F_115_1_2_0_0_nonfight_0,train,0,0.96875,0.875,1.0,0.96875,0.96875
F_115_1_2_0_0_nonfight_1,train,0,0.90625,0.5625,1.0,0.90625,0.90625
F_115_1_2_0_0_nonfight_2,train,0,1.0,1.0,1.0,1.0,1.0
F_115_1_2_0_0_nonfight_3,train,0,0.9375,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_0_338_w0,test,1,1.0,0.875,0.9375,0.9375,1.0
F_116_0_0_0_0_fight_0_338_w1,test,1,0.96875,0.96875,1.0,0.96875,0.96875
F_116_0_0_0_0_fight_0_338_w2,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_1440_1920_w0,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_1440_1920_w1,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_1440_1920_w2,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_2880_3360_w0,test,1,1.0,0.9375,1.0,1.0,1.0
F_116_0_0_0_0_fight_2880_3360_w1,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_2880_3360_w2,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_4163_4302_w0,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_4163_4302_w1,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_4163_4302_w2,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_4663_4700_w0,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_5245_5280_w0,test,1,1.0,0.9375,1.0,1.0,1.0
F_116_0_0_0_0_fight_5790_5992_w0,test,1,1.0,0.9375,1.0,1.0,1.0
F_116_0_0_0_0_fight_5790_5992_w1,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_5790_5992_w2,test,1,1.0,0.875,1.0,1.0,1.0
F_116_0_0_0_0_fight_6242_6295_w0,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_6361_6507_w0,test,1,1.0,0.6875,1.0,1.0,1.0
F_116_0_0_0_0_fight_6361_6507_w1,test,1,1.0,0.78125,1.0,1.0,1.0
F_116_0_0_0_0_fight_6361_6507_w2,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_7756_7850_w0,test,1,1.0,0.96875,1.0,1.0,1.0
F_116_0_0_0_0_fight_7756_7850_w1,test,1,0.75,0.6875,1.0,0.75,0.75
F_116_0_0_0_0_fight_9230_9334_w0,test,1,1.0,0.6875,0.875,0.875,1.0
F_116_0_0_0_0_fight_9230_9334_w1,test,1,0.875,0.6875,1.0,0.875,0.875
F_116_0_0_0_0_fight_9230_9334_w2,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_9600_9626_w0,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_10012_10080_w0,test,1,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_fight_10012_10080_w1,test,1,1.0,1.0,0.96875,0.96875,1.0
F_116_0_0_0_0_nonfight_0,test,0,1.0,0.9375,1.0,1.0,1.0
F_116_0_0_0_0_nonfight_1,test,0,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_nonfight_2,test,0,1.0,1.0,1.0,1.0,1.0
F_116_0_0_0_0_nonfight_3,test,0,1.0,1.0,1.0,1.0,1.0
F_117_0_0_0_0_fight_0_376_w0,val,1,1.0,1.0,1.0,1.0,1.0
F_117_0_0_0_0_fight_0_376_w1,val,1,1.0,1.0,1.0,1.0,1.0
F_117_0_0_0_0_fight_0_376_w2,val,1,1.0,1.0,1.0,1.0,1.0
F_117_0_0_0_0_fight_480_1440_w0,val,1,1.0,1.0,1.0,1.0,1.0
F_117_0_0_0_0_fight_480_1440_w1,val,1,1.0,1.0,1.0,1.0,1.0
F_117_0_0_0_0_fight_480_1440_w2,val,1,1.0,1.0,1.0,1.0,1.0
F_117_0_0_0_0_fight_2371_2880_w0,val,1,1.0,1.0,1.0,1.0,1.0
F_117_0_0_0_0_fight_2371_2880_w1,val,1,1.0,1.0,1.0,1.0,1.0
F_117_0_0_0_0_fight_2371_2880_w2,val,1,1.0,0.84375,1.0,1.0,1.0
F_117_0_0_0_0_fight_3037_3077_w0,val,1,1.0,1.0,1.0,1.0,1.0
F_117_0_0_0_0_nonfight_0,val,0,1.0,1.0,1.0,1.0,1.0
F_117_0_0_0_0_nonfight_1,val,0,1.0,0.5625,1.0,1.0,1.0
F_117_0_0_0_0_nonfight_2,val,0,1.0,1.0,1.0,1.0,1.0
F_117_0_0_0_0_nonfight_3,val,0,1.0,1.0,1.0,1.0,1.0
F_118_1_2_0_0_fight_480_625_w0,val,1,0.5,0.03125,0.8125,0.5,0.5
F_118_1_2_0_0_fight_480_625_w1,val,1,0.6875,0.03125,0.90625,0.65625,0.6875
F_118_1_2_0_0_fight_480_625_w2,val,1,0.5625,0.21875,0.59375,0.53125,0.5625
F_118_1_2_0_0_fight_706_759_w0,val,1,1.0,0.5625,1.0,1.0,1.0
F_118_1_2_0_0_fight_1021_1440_w0,val,1,1.0,0.0,1.0,1.0,1.0
F_118_1_2_0_0_fight_1021_1440_w1,val,1,1.0,0.0,1.0,1.0,1.0
F_118_1_2_0_0_fight_1021_1440_w2,val,1,1.0,0.6875,1.0,1.0,1.0
F_118_1_2_0_0_nonfight_0,val,0,0.0,0.0,0.0625,0.0,0.0
F_118_1_2_0_0_nonfight_1,val,0,0.1875,0.0,1.0,0.1875,0.1875
F_118_1_2_0_0_nonfight_2,val,0,0.90625,0.21875,0.90625,0.8125,0.90625
F_118_1_2_0_0_nonfight_3,val,0,1.0,0.75,1.0,1.0,1.0
F_119_0_2_0_0_fight_480_885_w0,val,1,1.0,1.0,1.0,1.0,1.0
F_119_0_2_0_0_fight_480_885_w1,val,1,1.0,1.0,1.0,1.0,1.0
F_119_0_2_0_0_fight_480_885_w2,val,1,1.0,1.0,1.0,1.0,1.0
F_119_0_2_0_0_fight_2448_2880_w0,val,1,1.0,1.0,1.0,1.0,1.0
F_119_0_2_0_0_fight_2448_2880_w1,val,1,1.0,1.0,1.0,1.0,1.0
F_119_0_2_0_0_fight_2448_2880_w2,val,1,1.0,1.0,1.0,1.0,1.0
F_119_0_2_0_0_nonfight_0,val,0,1.0,1.0,1.0,1.0,1.0
F_119_0_2_0_0_nonfight_1,val,0,1.0,1.0,1.0,1.0,1.0
F_119_0_2_0_0_nonfight_2,val,0,1.0,1.0,1.0,1.0,1.0
F_119_0_2_0_0_nonfight_3,val,0,1.0,1.0,1.0,1.0,1.0
F_11_0_2_0_0_fight_0_230_w0,train,1,1.0,1.0,1.0,1.0,1.0
F_11_0_2_0_0_fight_0_230_w1,train,1,1.0,0.4375,1.0,1.0,1.0
F_11_0_2_0_0_fight_0_230_w2,train,1,1.0,1.0,1.0,1.0,1.0
F_11_0_2_0_0_fight_480_960_w0,train,1,1.0,0.8125,1.0,1.0,1.0
F_11_0_2_0_0_fight_480_960_w1,train,1,1.0,0.59375,1.0,1.0,1.0
F_11_0_2_0_0_fight_480_960_w2,train,1,1.0,0.59375,1.0,1.0,1.0
F_11_0_2_0_0_fight_1033_1189_w0,train,1,1.0,0.6875,1.0,1.0,1.0
F_11_0_2_0_0_fight_1033_1189_w1,train,1,1.0,0.25,1.0,1.0,1.0
F_11_0_2_0_0_fight_1033_1189_w2,train,1,0.90625,0.0625,1.0,0.90625,0.90625
F_11_0_2_0_0_fight_1667_1920_w0,train,1,1.0,0.0625,1.0,1.0,1.0
F_11_0_2_0_0_fight_1667_1920_w1,train,1,0.0625,0.0,0.84375,0.78125,0.8125
F_11_0_2_0_0_fight_1667_1920_w2,train,1,0.125,0.0,0.9375,0.3125,0.3125
F_11_0_2_0_0_nonfight_0,train,0,0.21875,0.0,0.34375,0.21875,0.21875
F_11_0_2_0_0_nonfight_1,train,0,0.0,0.0,0.5625,0.0,0.03125
F_11_0_2_0_0_nonfight_2,train,0,0.84375,0.40625,0.78125,0.75,0.84375
F_11_0_2_0_0_nonfight_3,train,0,0.9375,0.0,1.0,1.0,1.0
F_120_1_0_0_0_fight_255_960_w0,test,1,0.0625,0.0,1.0,0.0625,0.0625
